subnum,effector,mm,init
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,L,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_13,R,0,03_13
03_15,L,0,03_15
03_15,L,1.5,03_15
03_15,L,2,03_15
03_15,L,1.5,03_15
03_15,L,1.5,03_15
03_15,L,2,03_15
03_15,L,3,03_15
03_15,L,2,03_15
03_15,L,1.5,03_15
03_15,L,1.5,03_15
03_15,R,0,03_15
03_15,R,1,03_15
03_15,R,1.5,03_15
03_15,R,0,03_15
03_15,R,0,03_15
03_15,R,0,03_15
03_15,R,0,03_15
03_15,R,0,03_15
03_15,R,0,03_15
03_15,R,0,03_15
03_16,R,1,03_16
03_16,R,1,03_16
03_16,R,0,03_16
03_16,R,0,03_16
03_16,R,0,03_16
03_16,R,0,03_16
03_16,R,0,03_16
03_16,R,0,03_16
03_16,R,0,03_16
03_16,R,0,03_16
03_16,L,1,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_16,L,0,03_16
03_17,R,1,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,R,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_17,L,0,03_17
03_18,L,1,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,L,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_18,R,0,03_18
03_19,R,1,03_19
03_19,R,1,03_19
03_19,R,1,03_19
03_19,R,1,03_19
03_19,R,1,03_19
03_19,R,0,03_19
03_19,R,0,03_19
03_19,R,0,03_19
03_19,R,0,03_19
03_19,R,0,03_19
03_19,L,2,03_19
03_19,L,1,03_19
03_19,L,2,03_19
03_19,L,2.5,03_19
03_19,L,1.5,03_19
03_19,L,2,03_19
03_19,L,1.5,03_19
03_19,L,1.5,03_19
03_19,L,0,03_19
03_19,L,0,03_19
03_20,L,1,03_20
03_20,L,1.5,03_20
03_20,L,1,03_20
03_20,L,1,03_20
03_20,L,1,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_20,R,5,03_20
03_20,R,1,03_20
03_20,R,3,03_20
03_20,R,1,03_20
03_20,R,4,03_20
03_20,R,2,03_20
03_20,R,0,03_20
03_20,R,0,03_20
03_20,R,0,03_20
03_20,R,0,03_20
03_20,L,1,03_20
03_20,L,1.5,03_20
03_20,L,1,03_20
03_20,L,1,03_20
03_20,L,1,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_20,L,0,03_20
03_21,L,1,03_21
03_21,L,2,03_21
03_21,L,1,03_21
03_21,L,0,03_21
03_21,L,0,03_21
03_21,L,0,03_21
03_21,L,0,03_21
03_21,L,0,03_21
03_21,L,0,03_21
03_21,L,0,03_21
03_21,R,1,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_21,R,0,03_21
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,L,0,03_22
03_22,R,1,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_22,R,0,03_22
03_23,R,1,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,R,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_23,L,0,03_23
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,L,0,03_24
03_24,R,1.5,03_24
03_24,R,1,03_24
03_24,R,1,03_24
03_24,R,0,03_24
03_24,R,0,03_24
03_24,R,0,03_24
03_24,R,0,03_24
03_24,R,0,03_24
03_24,R,0,03_24
03_24,R,0,03_24
